de,en,type,example,example_en
einnehmen,"capture, occupy",verb,Die Armee will die Stadt einnehmen.,The army wants to capture the city.
eins,one,other,Ich habe nur eins.,I have only one.
einschlagen,"wrap up, hit",verb,Er schlägt das Geschenk ein.,He wraps up the gift.
einsetzen,"appoint, commence",verb,Sie setzt sich für andere ein.,She stands up for others.
eintreten,"enter, occur",verb,Sie tritt ins Zimmer ein.,She enters the room.
eiskalt,"ice-cold, freezing",other,Das Wasser ist eiskalt.,The water is ice-cold.
empfehlen,"recommend, advise",verb,Kannst du mir ein Buch empfehlen?,Can you recommend a book to me?
eng,"narrow, tight",other,Die Straße ist sehr eng.,The street is very narrow.
englisch,"English, angelic",other,Ich spreche Englisch.,I speak English.
er,"he, it",pronoun,Er ist mein Bruder.,He is my brother.
erbrechen,"vomit, break",verb,"Ihm ist schlecht, er muss erbrechen.",He feels sick and has to vomit.
erfahren,"experienced, experience",verb,Sie ist eine erfahrene Lehrerin.,She is an experienced teacher.
erfassen,"record, grasp",verb,Sie erfasst die Daten.,She records the data.
erneuern,"renew, change",verb,Sie erneuert den Vertrag.,She renews the contract.
ernähren,"feed, keep",verb,No examples available.,
erreichen,"reach, achieve",verb,Ich möchte mein Ziel erreichen.,I want to achieve my goal.
erst,"only, first",other,Das ist erst der Anfang.,That is only the beginning.
erwischen,"catch, grab",verb,Er erwischte den Ball.,He caught the ball.
essen,eat,verb,Ich möchte etwas essen.,I want to eat something.
etwa,"about, for example",other,Es dauert etwa eine Stunde.,It takes about an hour.
etwas,"something, anything",other,Ich habe etwas für dich.,I have something for you.
euch,you,pronoun,No examples available.,
fahren,"drive, go",verb,Ich fahre mit dem Auto.,I drive by car.
fallen,"fall, drop",verb,Die Blätter fallen im Herbst.,The leaves fall in autumn.
falsch,"false, fake",other,Das ist falsch.,That is wrong.
fangen,"catch, capture",verb,Er fängt den Ball.,He catches the ball.
fassen,"capture, take",verb,Die Polizei konnte den Dieb fassen.,The police were able to capture the thief.
fein,"fine, delicate",other,Das ist feiner Sand.,That is fine sand.
fest,"solid, fixed",other,Der Tisch steht fest.,The table stands solid.
festsetzen,"fix, determine",verb,Wir müssen einen Termin festsetzen.,We have to fix a date.
fett,"fat, bold",other,Die Milch ist sehr fett.,The milk is very fat.
feuern,fire,verb,Der Chef will ihn feuern.,The boss wants to fire him.
finden,"find, think",verb,Ich kann meine Schlüssel nicht finden.,I can't find my keys.
fliegen,"fly, aviate",verb,Die Vögel fliegen am Himmel.,The birds are flying in the sky.
folgen,"follow, ensue",verb,Sie folgt ihm.,She follows him.
französisch,"French, oral",other,Sie spricht französisch.,She speaks French.
frei,"free, single",other,Ich habe heute frei.,I have a day off today.
fressen,"eat, gorge",verb,No examples available.,
führen,"lead, bring",verb,Er führt die Gruppe.,He leads the group.
fünf,five,other,Ich habe fünf Freunde.,I have five friends.
für,for,preposition,Das Geschenk ist für dich.,The present is for you.
fürchten,"fear, afraid",verb,Viele Menschen fürchten sich vor Spinnen.,Many people are afraid of spiders.
ganz,"entire, intact",other,Ich habe das ganze Buch gelesen.,I read the entire book.
geben,"give, be",verb,Kannst du mir das Buch geben?,Can you give me the book?
gegenwärtig,"present, current",other,No examples available.,
gehen,"go, walk",verb,Ich gehe zur Schule.,I go to school.
gelb,yellow,other,Die Sonne ist gelb.,The sun is yellow.
gell,"right, isn't it",other,"Das ist deins, gell?","That is yours, right?"
gemein,"mean, common",other,Warum bist du so gemein zu mir?,Why are you so mean to me?
gerade,"even, straight",other,Die Straße ist gerade.,The street is straight.
gestern,yesterday,verb,Gestern war ein schöner Tag.,Yesterday was a beautiful day.
gewaltig,"powerful, immense",other,Das war ein gewaltiger Sturm.,That was a powerful storm.
gewinnen,"win, gain",verb,Wir wollen das Spiel gewinnen.,We want to win the game.
gießen,"pour, cast",verb,No examples available.,
gleich,"equal, soon",other,Alle Menschen sind gleich.,All people are equal.
griechisch,Greek,other,Er lernt griechisch.,He is learning Greek.
groß,"big, large",other,Der Elefant ist sehr groß.,The elephant is very big.
grün,"green, vert",other,Das Gras ist grün.,The grass is green.
gründen,"found, base",verb,Sie gründet ein Unternehmen.,She founds a company.
gucken,"look, watch",verb,"Guck mal, das ist interessant.","Look, that is interesting."
gut,"good, well",other,Mir geht es gut.,I am well.
haben,"have, have got",verb,Ich habe einen Hund.,I have a dog.
hallo,"hello, hi",other,"Hallo, wie geht's?","Hello, how are you?"
halten,"hold, keep",verb,Kannst du das bitte halten?,"Can you hold this, please?"
handeln,"act, trade",verb,Wir müssen jetzt handeln.,We have to act now.
hart,"hard, rigid",other,Der Stein ist hart.,The stone is hard.
haschen,"hashish, tag",verb,Die Kinder spielen haschen.,The children play tag.
heiter,"cheerful, jocular",other,Das Wetter ist heute heiter.,The weather is cheerful today.
heiß,"hot, in heat",other,Der Kaffee ist sehr heiß.,The coffee is very hot.
heißen,"be called, say",verb,Wie heißt du?,What are you called?
helfen,"help, aid",verb,Kannst du mir helfen?,Can you help me?
hell,"bright, light",other,Das Zimmer ist hell.,The room is bright.
heute,"today, nowadays",other,Heute ist das Wetter schön.,The weather is nice today.
hier,here,other,Ich bin hier.,I am here.
hinnehmen,take,verb,Er muss die Niederlage hinnehmen.,He has to take the defeat.
historisch,"historic, ancient",other,Das ist ein historisches Gebäude.,This is a historic building.
hoch,"high, tall",other,Der Turm ist sehr hoch.,The tower is very tall.
hundert,hundred,other,Hundert Menschen sind da.,A hundred people are there.
hängen,"hang, be fond of",verb,Das Bild hängt an der Wand.,The picture hangs on the wall.
hören,"hear, listen",verb,Ich höre Musik.,I listen to music.
ich,"I, me",pronoun,Ich gehe zur Schule.,I go to school.
ie Führung,"lead, guided tour",other,Wir machen eine Führung im Museum.,We are taking a guided tour in the museum.
ihr,"you, their",pronoun,Ihr könnt jetzt gehen.,You can go now.
in,"in, into",preposition,Ich bin in der Schule.,I am in the school.
indem,"as, meanwhile",other,"Indem du lernst, verbesserst du dich.","As you learn, you improve."
ja,"yes, aye",other,"Ja, ich komme mit.","Yes, I am coming along."
jener,"that, those",other,Jener Mann ist mein Freund.,That man is my friend.
jetzt,"now, right now",other,Ich mache es jetzt.,I am doing it now.
kalt,"cold, chilly",other,Im Winter ist es sehr kalt.,It is very cold in winter.
kaputt,"broken, out of order",other,Mein Handy ist kaputt.,My phone is broken.
karg,"barren, sparse",other,No examples available.,
kein,"no, none",other,Ich habe kein Geld.,I have no money.
kennen,know,verb,Ich kenne ihn gut.,I know him well.
klappen,"work, fold",verb,Alles hat gut geklappt.,Everything worked out well.
klar,"clear, lucid",other,Das Wasser ist klar.,The water is clear.
kleben,"glue, stick",verb,Er klebt das Papier.,He glues the paper.
klein,"small, little",other,Der Hund ist klein.,The dog is small.
klingen,"sound, ring",verb,Das Lied klingt schön.,The song sounds beautiful.
knapp,"scant, succinct",other,Die Zeit ist knapp.,Time is scant.
kochen,"cook, boil",verb,Ich koche heute Abend.,I am cooking tonight.
kommen,"come, arrive",verb,Wann kommst du nach Hause?,When are you coming home?
kostenlos,"free, gratuitous",other,Die Probe ist kostenlos.,The sample is free.
kreuzen,"cross, hybridize",verb,Sie kreuzt die Straße.,She crosses the street.
kriegen,"wage war, get",verb,Ich kriege ein Geschenk.,I get a present.
kräftig,"strong, enormous",other,No examples available.,
kurz,"short, brief",other,Der Film war sehr kurz.,The movie was very short.
kämpfen,"fight, struggle",verb,No examples available.,
können,"can, be able to",verb,Ich kann schwimmen.,I can swim.
köpfen,"decapitate, behead",verb,Der Henker köpft den Verurteilten.,The executioner beheads the condemned.
küssen,kiss,verb,Sie küssen sich.,They kiss each other.
laden,"load, charge",verb,No examples available.,
lang,long,other,Die Straße ist lang.,The street is long.
lassen,"let, leave",verb,Lass mich in Ruhe.,Leave me alone.
lateinisch,"Latin, Roman",other,Sie spricht lateinisch.,She speaks Latin.
laufen,"run, walk",verb,Ich laufe jeden Morgen.,I run every morning.
leben,live,verb,Ich lebe in Deutschland.,I live in Germany.
leicht,"light, easy",other,Die Aufgabe ist leicht.,The task is easy.
leise,"faint, quiet",other,Bitte sei leise.,Please be quiet.
leiten,"lead, conduct",verb,Sie leitet das Team.,She leads the team.
lesen,"read, pick",verb,Ich lese ein Buch.,I am reading a book.
lieben,"love, have sex",verb,Ich liebe meine Familie.,I love my family.
liefern,"deliver, supply",verb,Wir liefern die Ware morgen.,We will deliver the goods tomorrow.
liegen,"lie, be",verb,Das Buch liegt auf dem Tisch.,The book lies on the table.
lose,"loose, slack",other,Der Knoten ist lose.,The knot is loose.
losgehen,"leave, start",verb,Wann gehen wir los?,When do we leave?
lustig,"funny, happy",other,Der Film war sehr lustig.,The movie was very funny.
lüften,"air, reveal",verb,Ich muss das Zimmer lüften.,I need to air the room.
lügen,lie,verb,Er lügt oft.,He lies often.
machen,"make, do",verb,Ich mache meine Hausaufgaben.,I do my homework.
malen,"paint, colour",verb,Das Kind malt ein Bild.,The child is painting a picture.
man,"one, you",other,Man soll freundlich sein.,One should be friendly.
meinen,"mean, think",verb,Was meinst du damit?,What do you mean by that?
mies,"bad, lousy",other,Das Wetter ist heute mies.,The weather is bad today.
mit,"with, against",preposition,Ich gehe mit meinem Freund ins Kino.,I go to the cinema with my friend.
morgen,tomorrow,verb,Morgen ist Samstag.,Tomorrow is Saturday.
mächtig,"powerful, mighty",other,No examples available.,
männlich,"male, masculine",other,Das Baby ist männlich.,The baby is male.
nach,"after, to",preposition,Nach dem Essen gehen wir spazieren.,"After eating, we go for a walk."
nackt,"naked, nude",other,Das Baby ist nackt.,The baby is naked.
nahe,"near, nearby",other,Das Haus ist nahe.,The house is near.
nass,wet,other,Das T,Shirt ist nass. - The T-shirt is wet.
natürlich,"natural, naturally",other,Das ist ganz natürlich.,That is completely natural.
nehmen,"take, have",verb,Kann ich das nehmen?,Can I take this?
nein,"no, nope",other,"Nein, das ist nicht richtig.","No, that is not correct."
nennen,"call, name",verb,Wie nennt man dieses Tier?,What do you call this animal?
neu,"new, novel",other,Mein Auto ist neu.,My car is new.
neun,"nine, o'clock",other,Ich habe neun Bücher.,I have nine books.
nicht,not,other,Ich weiß es nicht.,I do not know.
noch,"still, yet",other,Ich bin noch nicht fertig.,I am not finished yet.
nun,now,other,Nun ist es Zeit zu gehen.,Now it is time to go.
nur,"only, just",other,Ich habe nur einen Euro.,I only have one euro.
offen,open,verb,Das Fenster ist offen.,The window is open.
orange,"orange, orangey",other,Die Orange ist süß.,The orange is sweet.
passen,"fit, pass",verb,Die Schuhe passen mir.,The shoes fit me.
passieren,"happen, pass",verb,Was ist passiert?,What happened?
platt,"flat, bromidic",other,Das Land ist platt.,The land is flat.
prüfen,"check, examine",verb,Sie prüft die Antworten.,She checks the answers.
rauchen,smoke,verb,Rauchen ist ungesund.,Smoking is unhealthy.
recht,right,other,Du hast recht.,You are right.
rechts,"right, dexter",other,Biege rechts ab.,Turn right.
regnen,rain,verb,Es beginnt zu regnen.,It starts to rain.
reichen,"be enough, stretch",verb,Das Geld muss für den Monat reichen.,The money has to be enough for the month.
rein,"pure, clean",other,Das Wasser ist rein.,The water is pure.
reißen,"pull, tear",verb,No examples available.,
retten,"save, rescue",verb,Er rettet das Kind.,He saves the child.
richten,"straighten, judge",verb,Sie richtet das Bild.,She straightens the picture.
richtig,"correct, right",other,Das ist die richtige Antwort.,That is the correct answer.
riechen,"smell, reek",verb,Die Blumen riechen gut.,The flowers smell good.
rot,"red, gules",other,Der Apfel ist rot.,The apple is red.
rufen,"call, shout",verb,Sie ruft nach Hilfe.,She calls for help.
ruhig,"quiet, still",other,Sei bitte ruhig.,Please be quiet.
rund,"round, rotund",other,Der Tisch ist rund.,The table is round.
russisch,Russian,other,Er spricht russisch.,He speaks Russian.
rühren,"move, stir",verb,Sie rührt den Teig.,She stirs the dough.
sagen,"say, tell",verb,Was möchtest du sagen?,What do you want to say?
satt,"full, satiated",other,Ich bin satt.,I am full.
sauer,"sour, acid",other,Die Zitrone ist sauer.,The lemon is sour.
saufen,"drink, booze",verb,Er sauft Bier.,He drinks beer.
schalten,"change, shift",verb,Er schaltet den Fernseher ein.,He turns on the television.
scharf,"sharp, spicy",other,Das Messer ist scharf.,The knife is sharp.
schauen,"look, gaze",verb,Schau mal!,Look!
schelten,"scold, complain",verb,Sie schilt das Kind.,She scolds the child.
schenken,"donate, give",verb,Er schenkt ihr ein Buch.,He gives her a book.
schimpfen,"scold, curse",verb,Die Mutter schimpft mit dem Kind.,The mother scolds the child.
schlafen,"sleep, stay at someones place",verb,Ich möchte schlafen.,I want to sleep.
schlecht,"bad, evil",other,Das Wetter ist schlecht.,The weather is bad.
schließen,"close, shut",verb,Kannst du bitte das Fenster schließen?,Can you please close the window?
schlimm,"bad, serious",other,Das Wetter ist schlimm.,The weather is bad.
schmeißen,"throw, deal",verb,No examples available.,
schmutzig,"dirty, filthy",other,Die Kleidung ist schmutzig.,The clothes are dirty.
schneiden,"cut, tap",verb,Kannst du das Brot schneiden?,Can you cut the bread?
schnell,"fast, quick",other,Das Auto ist schnell.,The car is fast.
schreiben,"write, store",verb,Ich schreibe einen Brief.,I am writing a letter.
schreien,"shout, scream",verb,Das Kind schreit laut.,The child shouts loudly.
schräg,"oblique, aslant",other,No examples available.,
schwarz,"black, sable",other,Die Katze ist schwarz.,The cat is black.
schwer,"heavy, difficult",other,Der Koffer ist schwer.,The suitcase is heavy.
schwimmen,"swim, float",verb,Ich kann schwimmen.,I can swim.
schön,"beautiful, nice",other,Das Wetter ist schön.,The weather is beautiful.
schöpfen,"scoop, create",verb,Sie schöpft Wasser aus dem Brunnen.,She scoops water from the well.
sechs,six,other,Ich habe sechs Äpfel.,I have six apples.
sehen,"see, look",verb,Ich sehe einen Vogel.,I see a bird.
sehr,"very, much",other,Ich bin sehr müde.,I am very tired.
sein,"be, his",other,Ich will Arzt sein.,I want to be a doctor.
selten,"seldom, rarely",verb,Ich gehe selten ins Kino.,I rarely go to the cinema.
setzen,"sit, seat",verb,Bitte setzen Sie sich.,Please sit down.
sicher,"safe, sure",other,Hier bist du sicher.,You are safe here.
sie,"they, she",pronoun,Sie ist meine Schwester.,She is my sister.
sieben,"seven, sift",verb,Ich habe sieben Freunde.,I have seven friends.
sitzen,"sit, fit",verb,Ich sitze auf dem Stuhl.,I am sitting on the chair.
so,"so, as",other,Mach das so!,Do it like this!
spanisch,Spanish,other,No examples available.,
spielen,play,verb,Die Kinder spielen im Garten.,The children play in the garden.
sprechen,"speak, talk",verb,Kannst du Deutsch sprechen?,Can you speak German?
springen,"jump, leap",verb,Das Kind springt ins Wasser.,The child jumps into the water.
stammen,"come, originate",verb,Er stammt aus Deutschland.,He comes from Germany.
stark,"strong, powerful",other,Er ist sehr stark.,He is very strong.
stehen,"stand, suit",verb,Ich stehe an der Tür.,I am standing at the door.
steigen,"climb, rise",verb,Sie steigt auf den Berg.,She climbs the mountain.
stellen,"put, place",verb,Stell die Tasse auf den Tisch.,Put the cup on the table.
steuern,"control, steer",verb,Er kann das Auto gut steuern.,He can control the car well.
still,"quiet, silent",other,Bitte sei still.,Please be quiet.
streichen,"paint, stroke",verb,Er streicht die Wand.,He paints the wall.
streiten,"argue, fight",verb,Die Geschwister streiten oft.,The siblings often argue.
streng,"strict, hard",other,Mein Lehrer ist sehr streng.,My teacher is very strict.
stürzen,"overthrow, fall",verb,Der König wurde gestürzt.,The king was overthrown.
süß,"sweet, cute",other,Das Baby ist sehr süß.,The baby is very cute.
tauschen,"exchange, change",verb,Möchtest du Plätze tauschen?,Do you want to exchange seats?
teilen,"divide, share",verb,Wir teilen den Kuchen.,We share the cake.
tief,"deep, profound",other,Der See ist sehr tief.,The lake is very deep.
toll,"cool, crazy",other,Das Konzert war toll!,The concert was cool!
transportieren,"transport, move",verb,LKWs transportieren Waren über lange Strecken.,Trucks transport goods over long distances.
traurig,"sad, unhappy",other,Sie ist heute sehr traurig.,She is very sad today.
treffen,"meet, hit",verb,Wir treffen uns um acht Uhr.,We meet at eight o'clock.
treiben,"drive, float",verb,Er treibt das Auto.,He drives the car.
trinken,drink,verb,Ich trinke Wasser.,I drink water.
trocken,dry,verb,Die Wäsche ist trocken.,The laundry is dry.
tschüs,"goodbye, bye",other,Tschüs! Bis morgen!,Goodbye! See you tomorrow!
tun,"do, put",other,Was soll ich tun?,What should I do?
töten,kill,verb,"Jagen bedeutet oft, ein Tier zu töten.",Hunting often means to kill an animal.
um,"at, around",preposition,Wir treffen uns um acht Uhr.,We meet at eight o'clock.
umbringen,"kill, commit suicide",verb,Er will ihn umbringen.,He wants to kill him.
umziehen,"move, surround",verb,Wir müssen nächste Woche umziehen.,We have to move next week.
und,and,conjunction,Ich habe einen Hund und eine Katze.,I have a dog and a cat.
ungefähr,"approximately, about",other,No examples available.,
unterhalten,"entertain, talk",verb,Wir unterhalten uns über das Wetter.,We are talking about the weather.
unterschiedlich,"different, differing",other,Die Meinungen sind unterschiedlich.,The opinions are different.
unterstützen,support,verb,Wir unterstützen dich.,We support you.
verabschieden,"pass, adopt",verb,Das Gesetz wurde verabschiedet.,The law was passed.
verarbeiten,"process, convert",verb,Sie verarbeitet die Daten.,She processes the data.
vergehen,"pass, die",verb,Die Zeit vergeht schnell.,Time passes quickly.
verhalten,"behave, restrained",verb,Bitte verhalte dich ruhig.,Please behave calmly.
verlassen,"leave, abandon",verb,Ich muss das Haus früh verlassen.,I have to leave the house early.
verlaufen,"get lost, stray",verb,Wir haben uns im Wald verlaufen.,We got lost in the forest.
verlegen,"publish, mislay",verb,Er verlegt ein Buch.,He publishes a book.
verlieren,"lose, relinquish",verb,Ich habe meinen Schlüssel verloren.,I lost my key.
verschieben,"move, postpone",verb,Wir müssen das Treffen verschieben.,We have to postpone the meeting.
verschwinden,"disappear, vanish",verb,Die Sonne verschwindet hinter den Wolken.,The sun disappears behind the clouds.
verstehen,"understand, comprehend",verb,Ich verstehe die Frage.,I understand the question.
verstummen,"hush, stop",verb,Sie verstummt plötzlich.,She hushes suddenly.
verändern,change,verb,No examples available.,
vier,four,other,Ich habe vier Äpfel.,I have four apples.
voll,"full, sozzled",other,Das Glas ist voll.,The glass is full.
vollständig,"complete, entirely",other,No examples available.,
von,"from, of",preposition,Das Geschenk ist von Maria.,The gift is from Maria.
vor,"in front of, before",preposition,Das Auto steht vor dem Haus.,The car is in front of the house.
vorstellen,"present, imagine",verb,Kannst du dir das vorstellen?,Can you imagine that?
wachsen,"grow, wax",verb,Die Pflanze wächst schnell.,The plant grows quickly.
wann,when,other,"Weißt du, wann er kommt?",Do you know when he is coming?
was,"what, that",other,Was machst du?,What are you doing?
wechseln,"change, exchange",verb,Ich muss das Geld wechseln.,I need to exchange money.
weggehen,"leave, disappear",verb,Ich muss jetzt weggehen.,I have to leave now.
weiblich,"feminine, female",other,Die Katze ist weiblich.,The cat is female.
weil,"because, since",conjunction,"Ich bleibe zu Hause, weil es regnet.",I stay at home because it is raining.
weit,"wide, vast",other,Das Feld ist sehr weit.,The field is very vast.
weiß,"white, Caucasian",other,Der Schnee ist weiß.,The snow is white.
wenden,"address, turn",verb,Sie wendet sich an den Lehrer.,She addresses the teacher.
wenig,"little, not much",other,Ich habe wenig Zeit.,I have little time.
wenn,"if, when",conjunction,"Wenn es regnet, bleiben wir zu Hause.","If it rains, we stay at home."
wer,"who, somebody",other,Wer ist das?,Who is that?
werden,"become, get",verb,Er will Arzt werden.,He wants to become a doctor.
weshalb,"why, so",other,No examples available.,
wickeln,"wind, wrap",verb,Sie wickelt das Baby.,She wraps the baby.
wie,"how, like",other,Wie geht es dir?,How are you?
willkommen,welcome,verb,Herzlich willkommen!,A warm welcome!
winden,"wind, be windy",verb,Er windet sich aus der Umarmung.,He winds himself out of the embrace.
wirken,"act, operate",verb,Die Medizin wirkt schnell.,The medicine acts quickly.
wirklich,"real, really",other,Ist das wirklich wahr?,Is that really true?
wissen,know,verb,Ich weiß die Antwort.,I know the answer.
wo,"where, if",other,Wo bist du?,Where are you?
wollen,"want, wish",verb,Ich will ein Eis.,I want an ice cream.
wüst,"wild, severe",other,Das Wetter ist wüst.,The weather is severe.
zehn,ten,other,Ich habe zehn Euro.,I have ten euros.
zeichnen,"draw, pencil",verb,Das Kind zeichnet ein Haus.,The child draws a house.
zeigen,"show, point",verb,Kannst du mir den Weg zeigen?,Can you show me the way?
zerbrechen,break,verb,No examples available.,
zerlegen,"dismantle, analyze",verb,Er zerlegt das Fahrrad.,He dismantles the bicycle.
zerschlagen,break,verb,Er zerschlägt das Glas.,He breaks the glass.
ziehen,"pull, draw",verb,Zieh bitte die Tür zu.,Please pull the door shut.
zischen,"hiss, fizz",verb,Die Katze zischt.,The cat hisses.
zocken,"gamble, play",verb,Er zockt gerne im Casino.,He likes to gamble in the casino.
zu,"too, to",preposition,Das ist zu schwer.,That is too difficult.
zumachen,"close, shut",verb,Bitte mach die Tür zu.,Please close the door.
zurück,back,other,Ich komme gleich zurück.,I'll be right back.
zwei,"two, two year old",other,Ich habe zwei Schwestern.,I have two sisters.
zweite,second,other,Das ist die zweite Straße links.,That is the second street on the left.
ändern,"change, alter",verb,Ich möchte meine Adresse ändern.,I want to change my address.
öffnen,"open, turn on",verb,Kannst du das Fenster öffnen?,Can you open the window?
übel,"unpleasant, bad",other,Mir ist übel.,I feel sick.
über,"over, above",preposition,Der Vogel fliegt über das Haus.,The bird flies over the house.
überlassen,"abandon, leave",verb,Er überlässt das Auto seinem Bruder.,He leaves the car to his brother.
